name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","read",5.19080021,1.578e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19080314,1.57e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19080605,1.586e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","read",5.1909684,1.58e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19097132,1.602e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19097427,1.602e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19113662,1.592e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19113954,1.572e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19114247,1.562e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19130478,1.572e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.1913077,1.588e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19163677,1.568e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19163984,1.59e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","write",5.1916428,1.602e-06,"TPM_STS_0","d40018","40",0x0000000000000001,
"TPM SPI","read",5.19180199,1.588e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.19180488,1.604e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","write",5.19180786,1.59e-06,"TPM_ACCESS_0","d40000","20",0x0000000000000001,
"TPM SPI","read",5.19198604,1.596e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","read",5.19198898,1.606e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","read",5.19200782,1.598e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","write",5.19201079,1.606e-06,"TPM_ACCESS_0","d40000","02",0x0000000000000001,
"TPM SPI","read",5.1921692,1.596e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.1921721,1.572e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.19217504,1.568e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.1923374,1.576e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.19234035,1.59e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","write",5.19234332,1.604e-06,"TPM_STS_0","d40018","40",0x0000000000000001,
"TPM SPI","read",5.1925027,1.594e-06,"TPM_STS_0","d40018","c4",0x0000000000000001,
"TPM SPI","read",5.19250563,1.606e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",5.19266798,1.87e-06,"TPM_STS_0","d40019","4000",0x0000000000000001,
"TPM SPI","write",5.19267124,1.594e-06,"TPM_DATA_FIFO_0","d40024","80",0x0000000000000001,
"TPM SPI","write",5.19267315,1.572e-06,"TPM_DATA_FIFO_0","d40024","02",0x0000000000000001,
"TPM SPI","write",5.19267503,1.6e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19267694,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19267881,1.604e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19268072,1.568e-06,"TPM_DATA_FIFO_0","d40024","41",0x0000000000000001,
"TPM SPI","write",5.19268259,1.606e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19268451,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19268638,1.604e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","write",5.19268829,1.568e-06,"TPM_DATA_FIFO_0","d40024","82",0x0000000000000001,
"TPM SPI","write",5.19269017,1.606e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19269208,1.572e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19269396,1.596e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19269586,1.574e-06,"TPM_DATA_FIFO_0","d40024","0c",0x0000000000000001,
"TPM SPI","write",5.19269774,1.596e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19269964,1.58e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19270153,1.586e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19270342,1.586e-06,"TPM_DATA_FIFO_0","d40024","09",0x0000000000000001,
"TPM SPI","write",5.19270532,1.578e-06,"TPM_DATA_FIFO_0","d40024","40",0x0000000000000001,
"TPM SPI","write",5.1927072,1.588e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
